Date and Time,Temperature (C),Humidity,Temperature Warning,Humidity Warning,Temperature Message State,Humidity Message State
07/28/2022 10:10:38,24.2,69.4,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:10:40,24.2,69.3,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:10:49,24.2,69.3,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:10:52,24.2,69.3,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:10:54,24.2,69.3,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:10:57,24.2,69.2,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:10:59,24.2,69.2,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:01,24.2,69.2,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:06,24.2,69.2,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:08,24.2,69.1,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:13,24.2,69.1,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:15,24.2,69.1,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:18,24.2,69.1,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:20,24.2,69.1,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:23,24.2,69.1,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:25,24.2,69.1,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:28,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:30,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:32,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:35,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:37,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:40,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:42,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:44,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:49,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:51,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:54,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:56,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:11:59,24.2,69.1,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:12:01,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:12:03,24.2,69.0,Temperature Stabilized,Humidity Stabilized,N/A,N/A
07/28/2022 10:12:08,24.2,69.1,Temperature Stabilized,Humidity Stabilized,N/A,N/A
